dst,event,lamport,lamport_local,lamport_received,latency,node,src,timestamp
,internal,1,,,,0,,27284.046783541
3,send,1,,,,,1,27284.04740873
3,send,1,,,,,2,27284.048028083
3,recv,,2,1,0.0010374669982411433,,1,27284.048441257
2,send,2,,,,,0,27284.134060453
1,send,2,,,,,2,27284.158167533
0,send,2,,,,,1,27284.20344196
,internal,3,,,,3,,27284.214078129
0,send,3,,,,,2,27284.234845164
3,send,3,,,,,0,27284.239376769
2,send,4,,,,,3,27284.275759888
1,recv,,3,2,0.13556563900056062,,2,27284.293715357
1,send,4,,,,,2,27284.325546949
0,recv,,4,2,0.13199035199795617,,1,27284.33540501
3,recv,,5,1,0.32808011100132717,,2,27284.376081563
1,recv,,5,4,0.07430384599865647,,2,27284.399833954
3,send,5,,,,,0,27284.436150358
0,send,5,,,,,2,27284.476132185
,internal,6,,,,0,,27284.488408763
1,send,6,,,,,3,27284.51421008
,internal,6,,,,1,,27284.534230194
,internal,7,,,,1,,27284.611598604
2,recv,,6,2,0.5116146340005798,,0,27284.645660443
3,recv,,7,3,0.4393484649990569,,0,27284.678694312
