dst,event,leader,msg_type,src,term,timestamp
1,send,,VOTE_REQ,0,1,31221.859190945
2,send,,VOTE_REQ,0,1,31221.861046531
0,vote,,,1,1,31221.860089774
3,send,,VOTE_REQ,0,1,31221.861621092
4,send,,VOTE_REQ,0,1,31221.86208003
0,vote,,,2,1,31221.861820519
0,vote,,,3,1,31221.86234647
0,vote,,,4,1,31221.862965142
0,send,,VOTE_REQ,1,1,31221.922035766
2,send,,VOTE_REQ,1,1,31221.922624662
3,send,,VOTE_REQ,1,1,31221.923032313
0,send,,VOTE_REQ,3,1,31221.923268556
4,send,,VOTE_REQ,1,1,31221.923452146
1,send,,VOTE_REQ,3,1,31221.92375306
2,send,,VOTE_REQ,3,1,31221.924126055
4,send,,VOTE_REQ,3,1,31221.924510193
0,send,,VOTE_REQ,4,1,31221.944877923
1,send,,VOTE_REQ,4,1,31221.945503793
2,send,,VOTE_REQ,4,1,31221.946031862
3,send,,VOTE_REQ,4,1,31221.946604859
,elected,0,,,1,31221.962391825
1,send,,HEARTBEAT,0,1,31221.962951587
2,send,,HEARTBEAT,0,1,31221.963284419
3,send,,HEARTBEAT,0,1,31221.963450956
4,send,,HEARTBEAT,0,1,31221.963639705
1,send,,HEARTBEAT,0,1,31221.994094945
2,send,,HEARTBEAT,0,1,31221.995450368
3,send,,HEARTBEAT,0,1,31221.99647111
4,send,,HEARTBEAT,0,1,31221.999328077
1,send,,HEARTBEAT,0,1,31222.029689653
2,send,,HEARTBEAT,0,1,31222.02984918
3,send,,HEARTBEAT,0,1,31222.03022612
4,send,,HEARTBEAT,0,1,31222.030503919
1,send,,HEARTBEAT,0,1,31222.060744769
2,send,,HEARTBEAT,0,1,31222.061207478
3,send,,HEARTBEAT,0,1,31222.061473493
4,send,,HEARTBEAT,0,1,31222.061654388
1,send,,HEARTBEAT,0,1,31222.0919107
2,send,,HEARTBEAT,0,1,31222.092232447
3,send,,HEARTBEAT,0,1,31222.092461664
4,send,,HEARTBEAT,0,1,31222.092704509
